s,w,l,height,delta_amp,generation
2.491803945236215e-07,4.469544112929414e-07,1.906850640422371e-07,2.2799123897602332e-07,7.57163580919887,2
2.396061079628705e-07,6.539005298887217e-07,1.5925007990451564e-07,2.153603032269696e-07,3.4123588970423806,2
1.5149000662962986e-07,5.740721771108369e-07,1e-07,2.0424704595708904e-07,8.249381927830711,2
1.589426441501161e-07,7e-07,1.6170570701165356e-07,1.5e-07,18.544050953183458,2
1.16644133743623e-07,7e-07,1.3134665221873723e-07,1.6104914098272676e-07,25.23189982947712,2
1e-07,5.54583364147646e-07,1.2092817302703258e-07,1.8783593715114837e-07,11.913048656740157,2
1.317191922382957e-07,7e-07,1.3134665221873723e-07,1.565325754300004e-07,14.766470222611023,2
1.573662150868282e-07,6.539005298887217e-07,1.5925007990451564e-07,1.602132406138088e-07,18.719760601727543,2
1.16644133743623e-07,7e-07,1.2593896794958094e-07,1.8783593715114837e-07,25.23189982947712,2
1.1016762790262316e-07,6.539005298887217e-07,1.5925007990451564e-07,1.602132406138088e-07,15.64595401409257,2
1.3715471437826208e-07,3.6591595914326217e-07,1.8601358378317686e-07,2.793051773553111e-07,7.488799443326882,2
1.16644133743623e-07,7e-07,1.2593896794958094e-07,2.3359294023404295e-07,28.519402799078648,3
1.16644133743623e-07,6.910934206251289e-07,1.2530389088952144e-07,2.0424704595708904e-07,15.01071258236287,3
1.573662150868282e-07,7e-07,1.3134665221873723e-07,1.6704288794092947e-07,13.28535465874059,3
1.573662150868282e-07,6.910934206251289e-07,1.2530389088952144e-07,2.1080977328883253e-07,29.38836205618949,3
1.16644133743623e-07,6.539005298887217e-07,1.5925007990451564e-07,1.602132406138088e-07,20.775835619385717,3
