Lambda,DC,w,height,S11,generation
1.1250059785791629e-07,0.27355655169606075,3.1011501997452545e-07,1.616104745211109e-07,0.3113506988045376,3
2.048289195547191e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.30955719648027025,3
1e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3424186043259867,3
1e-07,0.1,6.965855150780017e-07,1.5422251002084126e-07,0.3369147201231974,3
1e-07,0.1,3e-07,1.616104745211109e-07,0.3039960627050852,3
1e-07,0.27355655169606075,3.1011501997452545e-07,1.616104745211109e-07,0.31522401868420424,3
1e-07,0.1,6.620455214373138e-07,1.5422251002084126e-07,0.336564062064514,3
2.4507052388058916e-07,0.14461094559846793,4.0703583235101304e-07,1.616104745211109e-07,0.29750039086618,3
1.1250059785791629e-07,0.27355655169606075,3e-07,1.616104745211109e-07,0.3086864028069279,3
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.3135827922834427,3
2.0679956776423144e-07,0.1,3e-07,1.5422251002084126e-07,0.22009288586199546,3
2.4507052388058916e-07,0.14461094559846793,6.72489845212624e-07,1.616104745211109e-07,0.3143614159897694,3
1e-07,0.14461094559846793,6.620455214373138e-07,1.6797963692775794e-07,0.3267548021346801,3
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.3135827922834427,3
1e-07,0.27355655169606075,3.1011501997452545e-07,1.6416029086119664e-07,0.31214280815231404,3
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.3135827922834427,3
2.4507052388058916e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.3135827922834427,3
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,3
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,3
2.0679956776423144e-07,0.27355655169606075,3.1011501997452545e-07,1.6416029086119664e-07,0.2048789172285265,3
1e-07,0.1,6.620455214373138e-07,1.6797963692775794e-07,0.3266380715839519,3
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,3
1e-07,0.1,3e-07,1.616104745211109e-07,0.3039960627050852,3
1.1250059785791629e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.33966704626280264,3
1e-07,0.27355655169606075,3.1011501997452545e-07,1.6416029086119664e-07,0.31214280815231404,3
2.0679956776423144e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3093415513090848,3
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,3
1.1250059785791629e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.33966704626280264,3
1.1250059785791629e-07,0.1,6.965855150780017e-07,1.5422251002084126e-07,0.33436806813761766,3
1e-07,0.14461094559846793,6.620455214373138e-07,1.6416029086119664e-07,0.3379002989743319,3
1.1250059785791629e-07,0.14461094559846793,6.620455214373138e-07,1.5422251002084126e-07,0.333858636818038,4
1.1250059785791629e-07,0.14461094559846793,6.965855150780017e-07,1.5422251002084126e-07,0.33441579987554776,4
1e-07,0.1,6.620455214373138e-07,1.6797963692775794e-07,0.3266380715839519,4
1e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3424186043259867,4
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,4
1e-07,0.27355655169606075,6.620455214373138e-07,1.6797963692775794e-07,0.3355028488915547,4
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.6416029086119664e-07,0.3479246346783054,4
1e-07,0.14461094559846793,6.965855150780017e-07,1.5422251002084126e-07,0.33696861876191364,4
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,4
1.1250059785791629e-07,0.1,6.965855150780017e-07,1.616104745211109e-07,0.3404651439271108,4
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,4
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.5422251002084126e-07,0.34490366297343744,4
1e-07,0.1,6.965855150780017e-07,1.5422251002084126e-07,0.3369147201231974,4
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,4
1e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3424186043259867,4
1.1250059785791629e-07,0.1,6.965855150780017e-07,1.616104745211109e-07,0.3404651439271108,4
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,4
1.1250059785791629e-07,0.14461094559846793,6.965855150780017e-07,1.5422251002084126e-07,0.33441579987554776,4
1.1250059785791629e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.33966704626280264,4
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,4
1e-07,0.14461094559846793,6.620455214373138e-07,1.616104745211109e-07,0.34247047480551773,4
1e-07,0.1,6.809546416680532e-07,1.616104745211109e-07,0.34247593657115066,4
1e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3424186043259867,4
1e-07,0.27355655169606075,6.620455214373138e-07,1.6500503338946488e-07,0.34844849929675215,4
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,4
2.4507052388058916e-07,0.14461094559846793,6.72489845212624e-07,1.616104745211109e-07,0.3143614159897694,4
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,4
1e-07,0.14461094559846793,6.620455214373138e-07,1.5422251002084126e-07,0.336614064360086,4
